# BEAST v1.7.5
# Generated Fri Feb 28 21:43:48 CET 2014 [seed=1393620227583]
state	species.coalescent	speciesTree.rootHeight	posterior	speciation.likelihood	prior	likelihood	species.popMean	speciesTree.splitPopSize1	speciesTree.splitPopSize2	speciesTree.splitPopSize3	speciesTree.splitPopSize4	speciesTree.splitPopSize5	speciesTree.splitPopSize6	speciesTree.splitPopSize7	species.birthDeath.meanGrowthRate	species.birthDeath.relativeDeathRate	215253319.treeModel.rootHeight	215253319.kappa	215253319.frequencies1	215253319.frequencies2	215253319.frequencies3	215253319.frequencies4	215253319.clock.rate	215253319.treeLikelihood
0	-20.328551770227165	0.04172829013906334	-2068.9257572639403	1.1209285108504168	-2.869688784512127	-2066.056068479428	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	1.0	0.5	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-2066.056068479428
30000	8.339951895311385	0.032073816894657776	-1274.5890027759156	4.310554411959784	40.706049511545736	-1315.2950522874612	0.002824790066986863	0.015572060890697072	0.009064762496049253	0.013386304818559102	0.002592259703217898	0.0011669338738647995	0.004505240111255591	0.0037313808097746374	11.771359938675912	0.6341605673842736	0.03513704997011147	23.580457227887905	0.30748561927925366	0.24317726657184452	0.14652696517800856	0.30281014897089314	1.902592630454796	-1315.2950522874612
60000	-13.529082654844721	648.0723270177406	-1393.0233372407902	-15.666735358117805	-78.4631680862182	-1314.560169154572	248.11943085353636	693.9291930463671	275.96728833670136	1194.8916828162173	1553.0333348395482	410.1265203726156	105.3245293031649	175.80462480542485	0.001446340473138129	0.12313707891340203	1046.8582419584213	61.07069842592109	0.3270384781439319	0.24735627331194004	0.11947846900701474	0.30612677953711315	5.732651682547642E-5	-1314.560169154572
90000	6.86935388562404	0.002650498590149899	-1269.50124292518	7.893603744878246	44.25723433283489	-1313.7584772580149	0.0014673974552307917	0.003654297788499834	0.0028959270341035685	0.0035761652275292234	0.003047538242318015	1.8208249852003086E-4	0.0034422040358607856	0.0019805199894173675	25.915395283521356	0.6249279259520001	0.008336606831248506	33.94466284620586	0.2935170796199595	0.24907248478025235	0.1457948475309663	0.3116155880688218	7.260945007196807	-1313.7584772580149
120000	-0.23884673676930124	0.05153510710278937	-1315.722128120111	2.702706908046476	-1.9671487068358156	-1313.7549794132751	0.15275805066483533	1.0862750626795519	0.8019984837167646	1.3655599743016478	0.2257764098863856	0.15706303684940023	0.04712398471784309	0.17562015291903463	5.7824434371988485	0.07401603406829348	0.3625590254302649	23.32974019324886	0.33500751206236806	0.22381213607392803	0.12602587034116924	0.31515448152253467	0.14045901971117666	-1313.7549794132751
150000	-21.182736943088734	14620.874461272053	-1418.930668017973	-21.7694476486107	-105.12587867490734	-1313.8047893430655	3855.327051053627	25836.462959205386	10438.67234931801	4073.0864601723342	2817.496453315891	6276.098456321362	12365.178910962255	2087.0701232821507	3.8335854028718816E-5	0.33481790730121047	25344.88221090369	25.124763561681636	0.3291054815293201	0.2602902834117119	0.10914054880148474	0.3014636862574834	2.0578335754879523E-6	-1313.8047893430655
180000	-16.436596099656946	26804.484282992955	-1404.917622361196	-22.985412595984652	-87.23048636645377	-1317.6871359947422	690.8146351619001	2242.9459823138054	610.3507031315253	2831.0326604162933	1595.549436259513	1777.380924905276	765.4908000458566	980.7301681356563	2.3000996058265663E-5	0.30338365365305453	28745.629060912575	65.17717561799373	0.3033255217057685	0.25051527926800865	0.11229922826458871	0.3338599707616341	1.8914435535653787E-6	-1317.6871359947422
210000	-6.108985376699344	0.5324921534444179	-1338.8653725289585	-2.051975494621409	-26.671495757991263	-1312.193876770967	1.4417576372194851	11.648296676992729	6.389282508697527	8.061119813718168	4.595979598458644	4.089648398491063	1.4059870119712652	7.0690449980415035	0.18816007753865652	0.6343009081752238	6.974535289978091	28.24279702647737	0.302429965122512	0.2403453413034595	0.12646873847777557	0.3307559550962528	0.008546056045750594	-1312.193876770967
240000	1.0493309796063581	0.43657623564626913	-1310.0534422698784	-1.3282030873375539	5.648261247253285	-1315.7017035171316	0.05183664668235765	0.12282655529485954	0.28483028108604147	0.3392074074127543	0.17854223268031116	0.07472545961311615	0.1953233580665451	0.04592024870598973	1.935229061317405	0.1329993624634325	0.638235147254155	32.590945601103925	0.31039577069419116	0.26717170587019845	0.12817332748185142	0.2942591959537586	0.10053863247581134	-1315.7017035171316
270000	-1.0400195630273998	0.07548097582855727	-1288.7386966073057	1.1014643343215922	24.474989815086076	-1313.2136864223917	0.005584567931878238	0.02534251915946022	0.03038085483796198	0.022739688295022105	0.02221934011820921	0.009360132605402876	0.008683566379012629	0.0059813183148942515	1.7862742141135604	0.17625892800793339	0.13544120872028317	28.3850025875236	0.29897128428028413	0.23116765218725963	0.13624828033606945	0.3336127831963867	0.398627088832024	-1313.2136864223917
