# BEAST v1.7.5
# Generated Fri Feb 28 17:05:44 CET 2014 [seed=1393603543763]
state	species.coalescent	speciesTree.rootHeight	posterior	speciation.likelihood	prior	likelihood	species.popMean	speciesTree.splitPopSize1	speciesTree.splitPopSize2	speciesTree.splitPopSize3	speciesTree.splitPopSize4	speciesTree.splitPopSize5	speciesTree.splitPopSize6	speciesTree.splitPopSize7	speciesTree.splitPopSize8	speciesTree.splitPopSize9	speciesTree.splitPopSize10	species.birthDeath.meanGrowthRate	species.birthDeath.relativeDeathRate	cluster224.treeModel.rootHeight	cluster224.kappa	cluster224.frequencies1	cluster224.frequencies2	cluster224.frequencies3	cluster224.frequencies4	cluster224.clock.rate	cluster793.treeModel.rootHeight	cluster793.kappa	cluster793.frequencies1	cluster793.frequencies2	cluster793.frequencies3	cluster793.frequencies4	cluster793.clock.rate	cluster822.treeModel.rootHeight	cluster822.kappa	cluster822.frequencies1	cluster822.frequencies2	cluster822.frequencies3	cluster822.frequencies4	cluster822.clock.rate	cluster224.treeLikelihood	cluster793.treeLikelihood	cluster822.treeLikelihood
0	-103.85207042319018	0.08914116466762892	-4186.686733676046	1.396595579747652	-84.33917314349375	-4102.347560532552	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	1.0	0.5	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	0.9999999999999999	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-1819.3674911727094	-1484.8007744523784	-798.179294907464
30000	-43.038737555811615	23.508069151363777	-2072.4622853743704	-16.543188566753503	-84.37323187196169	-1988.0890535024087	28.793585216175497	70.89981949299528	101.64684178440692	64.0263187798747	103.24120141734265	40.88717874932725	25.902735778308173	31.263414044793443	24.920244353241298	26.73595193432776	10.219266586955149	2.6984162381600113E-4	0.9405242718975929	86.2715270811516	11.585329494722787	0.25101068871011184	0.2705073236119412	0.2863693252476079	0.1921126624303391	1.2939872927333416E-4	44.154545624106916	2.195265716852401	0.21241104306501635	0.31467286867886607	0.2484114614319024	0.2245046268242148	2.6750771574751186E-5	70.70413429035364	2.460369620812886	0.18087739553416615	0.2806203743915597	0.27464237898322913	0.2638598510910452	6.571919848995496E-6	-937.207831919024	-657.3296449335706	-393.55157664981414
60000	35.63983463842768	0.0024913673093933495	-1889.731243539695	14.998090942528574	88.4873792413286	-1978.2186227810237	0.001513920753755564	0.01150468581861203	0.004207840174271273	0.010513614065835227	0.004877854907250652	0.006065917030761929	0.003922728011391291	0.005724596913450766	0.004596913821625436	6.274112397798585E-4	0.0024295650064205952	78.77021085326267	0.7231722529484459	0.014111660665409274	100.55917672980488	0.21051109837776608	0.30055131892084563	0.28783216780977366	0.20110541489161474	0.8945529084772802	0.01704262210987698	0.7974756018448559	0.16894351804389166	0.31530619320387515	0.2540425360014461	0.2617077527507866	0.08157010782506725	0.006601962870035256	1.708379297643584	0.17254894052267983	0.29690375747806197	0.27247943027101446	0.25806787172824397	0.25553534216808227	-933.6443844389015	-654.5298918916103	-390.0443464505117
90000	-42.76120497996919	71.44483900255895	-2055.6230048554053	-16.502329606964548	-89.17386801030621	-1966.449136845099	17.9179020024165	70.2941598250532	47.42424271801931	40.32418906349916	107.82516795049301	13.711295921736735	52.87205420787306	7.660140427011464	72.3114604014062	27.806385416681497	35.28663121930329	0.0281781031960302	0.6187853161427537	98.34686954881701	36.341041748305344	0.2024464646577634	0.29384190978584046	0.29380495477812063	0.2099066707782757	1.0968146589766398E-4	125.67481467745309	1.1083716966081276	0.1597211217433351	0.32732132442159795	0.27487558270987106	0.23808197112519539	1.2352481377261814E-5	88.34122311304945	8.344460863503793	0.13946842274252572	0.3125745977893783	0.28243677303621884	0.26552020643187746	2.482496325501951E-5	-929.0709345032177	-651.4126877040799	-385.9655146378014
120000	56.253862316567606	8.501198779299133E-5	-1831.5756143393398	24.735569914580445	139.50688264351763	-1971.0824969828575	3.047022325077822E-4	8.818294645047379E-4	0.0016485180003080412	0.001077919086266201	0.0011885449404655329	5.90337807472613E-4	5.328954082325677E-4	4.5506181816142976E-4	6.535032483425104E-4	4.821320765026618E-4	5.62596591661649E-4	140.91312894884618	0.9873264629543715	0.0012565846264447624	9.034161883379648	0.21298080172928519	0.3042448862157365	0.3082644550848567	0.17450985697012197	5.294745159871466	8.905706685973239E-4	1.29989353537388	0.15718463469552804	0.29590855626877954	0.30150382778844687	0.24540298124724497	0.12288890488967151	0.0018970545479393235	12.75332613633076	0.12107188047953206	0.3576867518444391	0.25375504671472454	0.26748632096130454	0.2853040705653665	-929.6868823901866	-654.2231425710736	-387.17247202159734
150000	58.43470646008714	0.0011461321789778794	-1829.5964222097612	18.097644612098637	139.7946304643831	-1969.3910526741442	1.37024664643094E-4	2.6778311539127494E-4	4.079180565065609E-4	2.0459451256783318E-4	4.498570650049047E-4	2.777701682319576E-4	3.3012896098033785E-4	1.0296374699844658E-4	2.2288381323509865E-4	1.3595583552384938E-4	2.7069384901807884E-4	810.3046762379507	0.21272508778300742	0.0014066719315702376	17.30063086957887	0.18117958332759232	0.3265401014698242	0.30203080273768074	0.19024951246490338	7.318345825473141	0.0024468696499152526	0.2240776531251047	0.1544512843677686	0.3308195620157082	0.2923744424258541	0.22235471119066882	0.13054022246471508	0.0013650986234484185	10.98381207609359	0.08055894601673672	0.370640287594237	0.22875645639825007	0.3200443099907767	4.62157910115895	-927.1705097275928	-653.5847697300843	-388.635773216467
180000	53.23676166585474	0.0012625983862342186	-1841.427290595711	17.484701975482622	125.21093066362107	-1966.638221259332	2.565388209563126E-4	9.362687738298142E-4	0.0020304845314965047	4.693912942380216E-4	8.52723762345338E-4	9.701814989242092E-4	8.42799113291661E-4	6.039095909863965E-4	0.0012988112617934912	4.227703077624487E-4	4.875994339010981E-4	190.81794287193014	0.8332484485820623	0.003868748441328525	5.815983635014773	0.17636171213361948	0.35272373990090256	0.2847047197233004	0.18620982824217838	2.8529691945449343	0.0033405384207161296	0.42053396380534885	0.17015743496543795	0.3031965810939473	0.2865676015812193	0.24007838235939521	0.2924507730931396	0.002195689328038494	25.514639981624615	0.1060656077520596	0.3253392417211871	0.27525692556438	0.2933382249623736	0.39491304479144984	-929.9970977990879	-652.0124815802899	-384.62864187995433
210000	44.864457246217206	0.00343152626148238	-1861.3635623530936	13.898218838463446	108.77863246881934	-1970.1421948219129	6.818702888434919E-4	0.0010969182452028534	0.0016364858520824734	0.0025832125476839486	0.004872712313904137	7.407406013603897E-4	3.04513537899616E-4	0.0016097131859121284	9.233855540944106E-4	0.0013120779321850495	0.002067129793262426	125.70655295588035	0.334896001848327	0.005659735177018173	23.01670947835853	0.21163722971381052	0.344535247997634	0.269719945134374	0.17410757715418232	0.9605401194300812	0.004998807945186129	2.646320256417529	0.16870199892656357	0.32920351973567674	0.2895926382682549	0.21250184306950468	0.004101836199389598	0.006341422753235484	77.9049238627298	0.09071583812606301	0.37338083509998155	0.2839950655731121	0.2519082612008435	0.1272014319339839	-928.6048020913171	-656.5214946807964	-385.0158980497993
240000	48.44578989212988	0.005410397542598604	-1863.5093811573606	11.649652691214733	105.80421350342755	-1969.313594660788	8.291289457027194E-4	0.0024494266462532846	0.00565872250883085	0.0015317513567585897	0.004569277749134119	1.1286169003182266E-4	0.0038487297681910225	7.123412415988092E-4	0.0017081152142026722	8.384904687706251E-4	0.0010027254142776756	93.5626383664657	0.6537187522961974	0.007706437879031216	33.773213268789895	0.2137506112300784	0.29763719649644127	0.27980736633674724	0.208804825936734	0.9083718723109174	0.005983415053939242	0.7887425346255189	0.1621597546972862	0.32282391687786993	0.2792691207353535	0.23574720768949048	0.026814827116778857	0.008973235406614098	26.73787776279714	0.1429587039719769	0.32293543626511123	0.30487975439085024	0.22922610537206162	0.3519515757270725	-930.5314020603398	-652.9701678994804	-385.81202470096775
270000	64.75892258632261	8.235372963353475E-4	-1823.1210252001445	17.96642705828584	145.5289771536559	-1968.6500023538003	9.16785125978047E-5	8.950285260070398E-4	2.663222872725854E-4	4.659531198283093E-4	3.9720393519296105E-4	2.9874599135817346E-5	4.8453965738240424E-4	6.85629143714427E-5	9.957747574488576E-5	1.1819390061520531E-4	1.8410520314884437E-4	780.5828382242529	0.6266279874131683	0.001259911575747636	20.31191911870885	0.2099373621071716	0.32639749407831115	0.247643942216915	0.2160212015976032	4.366693335273032	0.0016665871301130026	0.1045986917358733	0.1357956028523929	0.33130628001091744	0.280324724102723	0.2525733930339667	1.071680320362468	9.527975495606931E-4	35.23552862135275	0.1238298705553312	0.35015216493201007	0.291352505078971	0.23466545943368763	0.6752514803730147	-930.1038457223309	-652.9661709142083	-385.5799857172612
