# BEAST v1.7.5
# Generated Fri Feb 28 18:11:48 CET 2014 [seed=1393607508137]
state	species.coalescent	speciesTree.rootHeight	posterior	speciation.likelihood	prior	likelihood	species.popMean	speciesTree.splitPopSize1	speciesTree.splitPopSize2	speciesTree.splitPopSize3	speciesTree.splitPopSize4	speciesTree.splitPopSize5	speciesTree.splitPopSize6	speciesTree.splitPopSize7	speciesTree.splitPopSize8	speciesTree.splitPopSize9	speciesTree.splitPopSize10	speciesTree.splitPopSize11	speciesTree.splitPopSize12	speciesTree.splitPopSize13	speciesTree.splitPopSize14	speciesTree.splitPopSize15	speciesTree.splitPopSize16	species.birthDeath.meanGrowthRate	species.birthDeath.relativeDeathRate	cluster62.treeModel.rootHeight	cluster62.kappa	cluster62.frequencies1	cluster62.frequencies2	cluster62.frequencies3	cluster62.frequencies4	cluster62.clock.rate	cluster62.treeLikelihood
0	-38.16671510343674	0.023499400400610156	-2797.3319171583294	3.210166134445507	2.214314147222089	-2799.5462313055514	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	1.0	0.5	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-2799.5462313055514
30000	6.813129956341388	0.5036580019595398	-1197.1969939796122	-1.2210316547680415	40.22664136543115	-1237.4236353450433	0.02339584546343674	0.09579762965347087	0.026690447379930354	0.04127842707266136	0.09697496614684316	0.10955971165454685	0.15064244585316705	0.07191957179836395	0.08976916610615704	0.08478631186774128	0.018606183044896675	0.022126349845519526	0.08630115750105855	0.058510116375003744	0.06498471735899757	0.018483666271307368	0.012625708478243267	1.2448289218059756	0.19878056752209214	0.6138457606210916	7.073062570637598	0.30990737697123305	0.2354369787726591	0.23845735758875952	0.2161982866673485	0.007770154796764208	-1237.4236353450433
60000	21.090371184390435	0.00888794723109259	-1137.244748587185	23.192705139560786	102.17939443695536	-1239.4241430241404	0.0038764190080195597	0.035403141601438794	0.010834811818533218	0.0130886412209491	0.018948412988555187	0.023206469358050222	0.019513372457583705	0.006512441765099412	6.182777562947621E-4	0.0026632742848666066	0.003093635490490774	0.01572304658376188	0.011629805965701585	0.01611610002554465	0.012231925951820658	0.003057877385279101	0.006477422584980238	16.943984793567655	0.955772748044321	0.011897556826247118	6.504495852460212	0.28310096941653673	0.2207669925431354	0.2630118127862696	0.23312022525405823	0.31035484845025085	-1239.4241430241404
90000	28.459234597719316	0.01988447996783475	-1102.2467764502323	16.40127639485256	140.81361104043316	-1243.0603874906656	4.821292466208891E-4	0.0028939452547446023	9.942226876541432E-4	0.0010732295861975408	0.0012236226205392705	0.002984164471699566	0.0017534772993519007	5.357614831147666E-4	0.0014291447158346759	2.1767610544135268E-4	0.0036703443776816376	6.613221712326873E-4	0.0010015152241818674	6.485317856115157E-4	8.209419155496003E-4	0.001185955883870495	6.783917745899012E-4	51.78217439477535	0.25789861852340124	0.02027159272391603	4.025298221253667	0.25943324597412054	0.24091817737194016	0.2693970304558911	0.2302515461980481	0.08388418630160664	-1243.0603874906656
120000	-11.731625067002872	25.01041404932867	-1297.902943793527	-19.81850837339096	-60.38789353579653	-1237.5150502577303	1.0071952641214856	5.315530339853608	2.5151786979079453	1.4513810920291363	7.373092055834655	3.38523070823296	6.148001163164096	1.4669590825460737	5.187095841038409	4.4053722952249785	8.713513077857725	3.474355581317537	1.9883874005282463	2.0196506194814132	1.3048170176304619	3.0393206601078324	1.414206282832155	0.035923054368755446	0.514932630749703	31.182864861082006	5.504592494855076	0.2927210051420916	0.24107154163368189	0.25010368146002254	0.21610377176420403	1.6416852422074382E-4	-1237.5150502577303
150000	-16.346630478053644	312.41423930225085	-1336.6117402625723	-32.818819947529136	-98.83782034962981	-1237.7739199129426	8.752426717026282	44.23458267929154	20.95851567226834	65.3823826792489	15.100353824004403	42.0356782982584	17.623629265712946	6.921729086746702	4.40258017208674	10.552478776450883	6.589277332927862	9.426294640845361	25.71016714406013	6.771639837630563	11.983212615404248	10.533630635818463	26.541617599020565	0.0018737180093933378	0.22471587229101286	318.8225776393728	9.672376511718392	0.3116235858467738	0.2313843153528776	0.23082249647198635	0.22616960232836236	1.3469278017683491E-5	-1237.7739199129426
180000	-11.916955256881279	16.16646493607629	-1289.744384322915	-17.03953510901483	-51.55013924605151	-1238.1942450768636	0.7293126428871224	3.5814900063024857	4.1096495816300385	2.6238066285077273	3.195643437551953	2.5091588751362157	3.057661989136632	4.300271533986233	1.1979706253893823	1.6500338271775472	2.6732827248927316	1.1170132323588668	5.116290551994078	3.038382261211947	1.5795579532402184	2.1094804601183736	0.4724541456143584	0.13556650721340854	0.4048471352328178	25.20764688715178	8.126492155837326	0.2922406787498792	0.2539512719769728	0.248067447848111	0.2057406014250369	2.1864002493991597E-4	-1238.1942450768636
210000	30.87627762543449	0.0017897868095821312	-1087.6586550811116	28.101936175737904	156.5272260274204	-1244.1858811085322	3.060036401675903E-4	0.0011659371889038512	0.002100027562717632	8.432865789555117E-4	3.3809679371102575E-4	0.0022768231542020863	0.0018339650195617497	3.05314395626872E-4	5.752645405798482E-4	5.513238468445802E-4	8.63338838198421E-4	9.160912923697723E-4	8.525032621243968E-4	3.594152020343915E-4	5.001550128468138E-4	9.948471062035326E-4	0.00111207502143923	21.870618421048707	0.9817493462225513	0.002268868683855072	46.29401456937807	0.28273821277563516	0.2337217175327367	0.25571716021790997	0.2278229094737182	2.220052686903967	-1244.1858811085322
240000	38.896596409684804	0.0011243154966456852	-1050.195185376123	28.677493738288725	189.23853071714686	-1239.4337160932698	6.266138284487912E-5	1.5025460068269207E-4	2.4388532537846335E-4	2.602603989594287E-4	2.1911140678391907E-4	2.8428196471744736E-4	3.536469394389874E-5	1.1255896246349039E-4	6.107656136695785E-5	2.6892519905854134E-4	2.1282555838216072E-4	1.6197024268826526E-4	1.830414970037092E-4	1.885180593245612E-4	2.2407165646046067E-4	1.461997366794752E-4	7.951337296727013E-5	1683.4668722862568	0.55810228457216	0.001433825952043452	9.55679464939243	0.2832327918815421	0.21694826509677992	0.2638291901276777	0.23598975289400037	2.374728517495097	-1239.4337160932698
270000	-8.08304484712643	0.9920843356970588	-1267.9067220048942	-3.114587195907513	-27.859628310273553	-1240.0470936946206	0.6701779545895965	1.426668243786177	2.975470146219872	2.0431209149488003	2.889220282597441	3.3597344676794645	3.560174683310244	0.8445668531818629	3.1943911234503286	1.187537435265629	1.7099260804738714	1.627269255067232	1.0322666987042852	1.9912912005603711	0.4293684945665035	1.3077574796660127	0.5202798600450306	0.5036232157860473	0.48983964555610127	2.2464117651703566	6.842335902701453	0.3170972911934303	0.2293525413447939	0.2180696401735164	0.2354805272882596	0.0013832606665990749	-1240.0470936946206
