# BEAST v1.7.5
# Generated Fri Feb 28 23:45:00 CET 2014 [seed=1393627499695]
state	species.coalescent	speciesTree.rootHeight	posterior	speciation.likelihood	prior	likelihood	species.popMean	speciesTree.splitPopSize1	speciesTree.splitPopSize2	speciesTree.splitPopSize3	speciesTree.splitPopSize4	speciesTree.splitPopSize5	speciesTree.splitPopSize6	speciesTree.splitPopSize7	species.birthDeath.meanGrowthRate	species.birthDeath.relativeDeathRate	cluster584.treeModel.rootHeight	cluster584.kappa	cluster584.frequencies1	cluster584.frequencies2	cluster584.frequencies3	cluster584.frequencies4	cluster584.clock.rate	cluster65.treeModel.rootHeight	cluster65.kappa	cluster65.frequencies1	cluster65.frequencies2	cluster65.frequencies3	cluster65.frequencies4	cluster65.clock.rate	cluster584.treeLikelihood	cluster65.treeLikelihood
0	-44.93311914600088	0.031380709787641556	-9009.814960304213	1.185669107558187	-29.9924867245941	-8979.82247357962	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	1.0	0.5	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-2635.3720518088403	-6344.450421770779
30000	8.768526460615846	0.22254959976917155	-5276.297515967005	-1.9595068634340969	31.729689515014826	-5308.02720548202	0.013742909064948936	0.020964257343406918	0.057382563451226186	0.026758105562022252	0.04908064008481381	0.05120273801100933	0.019829995029109204	0.008842664925630062	0.38172831767232873	0.10770128389683825	0.3665981590783439	0.3867438241541587	0.30598066392482487	0.19468310703944877	0.22732335922248068	0.27201286981324574	0.00872111095969281	0.2820976206384604	2.6654548196863033	0.24130853669262095	0.25107074138437246	0.2510166042397536	0.256604117683253	0.047984145488290116	-1572.8256425902691	-3735.20156289175
60000	7.853547915289671	0.39667289730239985	-5271.644129447087	-0.9009480666370817	31.882991907345698	-5303.527121354433	0.013487575538784685	0.027406628884207845	0.023444929767259273	0.08970448473186401	0.0548775586484679	0.010096668905824255	0.003812773349487502	0.03338508693958424	0.32536598434569763	0.7865353179483623	0.5168439920248014	0.7348766225820514	0.3081820760932691	0.1965968001005177	0.1865540351833749	0.3086670886228384	0.0035574870291094373	0.4297262327345253	2.5357427030628665	0.23782597498103772	0.24821450299227266	0.24345834013922632	0.27050118188746336	0.03480783948971586	-1564.8046851728766	-3738.722436181556
90000	-3.450734525606433	8.092358273975009	-5312.152955247009	-8.01938165061281	-9.596263422585563	-5302.556691824424	0.4994973819236104	0.9198649180179366	1.1443254359111206	2.7633688999769714	0.07111181876675993	0.7355501707823743	0.8015959718502339	0.2497864025533321	0.2409525224359495	0.14875951879027713	8.658524933653016	2.922727337352148	0.2942936699601096	0.18310912022245293	0.20135883622352257	0.32123837359391505	2.109418390757834E-4	8.71511693519289	5.749160676578319	0.24512519239680855	0.2478326045170038	0.23735637887077715	0.2696858242154106	0.0010662367594700256	-1562.509174708711	-3740.047517115713
120000	25.24055876098588	0.027688847285233974	-5225.273720493803	4.481015440328847	72.95954565506959	-5298.233266148873	4.1559493102214163E-4	0.0016837782119568103	0.001508568082123963	7.168445594778052E-4	4.8174794661326063E-4	3.725139956871794E-4	2.3433623570722604E-4	0.0013625874397409537	32.70007409442208	0.2038909460964296	0.028000662726985637	9.22479203397579	0.29420472326471603	0.19577009875525225	0.19938448783046703	0.31064069014956514	0.07302932264113653	0.027931157266223312	3.344605401449916	0.23851728396509275	0.2581628238847761	0.24720657163582252	0.25611332051430874	0.38822856614451273	-1563.757088510669	-3734.4761776382034
150000	23.295299318542533	0.08831900288712081	-5227.534944804265	2.256229523466197	71.66946312484515	-5299.204407929111	2.924067235172298E-4	0.001044433179757824	0.0021772419614248793	9.319730340111943E-4	4.533627556838141E-4	5.821387078611161E-4	0.001054989145193412	0.0011057732201599443	11.068165760076736	0.052129620792437305	0.0886591251007719	15.559198279633067	0.2989448162031496	0.18523061498851986	0.18741702308670324	0.3284075457216277	0.020100768624637846	0.08972232729219365	2.198752222426269	0.24037173623586022	0.2667208657910464	0.23736593313467427	0.2555414648384192	0.12508898122895049	-1563.7198342487711	-3735.48457368034
180000	20.767302832038713	1.083833727710961	-5245.496371002347	-3.1098726028291774	57.60672388633504	-5303.103094888682	0.001978744485975468	0.012011943674002908	0.009388711606978621	0.011743542371213294	0.0034120561931322703	0.010517451109293013	6.46148251119233E-4	6.322426015532804E-4	0.2608140523143	0.2637377256301521	1.0883251262715126	2.2971308118576688	0.3152541996540213	0.15653647970148718	0.20234093611372148	0.32586838453077016	0.0014074191448528043	1.088910838657282	2.2800527698111157	0.24397240715001503	0.2639752946670583	0.24116449891955466	0.25088779926337196	0.012434571652260164	-1566.1137395553815	-3736.989355333301
210000	20.998404027033967	0.13624989386981035	-5229.359707820207	1.030237559491102	70.85601313735378	-5300.215720957562	3.500526780190426E-4	0.0011344295919827442	4.8071193950407907E-4	0.001790965714555022	9.411846571504601E-4	1.9317632489973622E-4	6.236081977988603E-4	0.0016115895689950944	2.6278686377962925	0.7516368027430492	0.1382369990844049	5.022350353183553	0.2906316288976426	0.20101812889458237	0.19464969277328673	0.3137005494344882	0.01046585696919308	0.13700751825395183	2.0035817765970063	0.24911867784083588	0.2634858454521056	0.23178131706297622	0.2556141596440823	0.08956595870518695	-1563.5402127431641	-3736.6755082143973
240000	39.38683824910187	0.0025480601186638804	-5175.772719146035	8.754451110571233	129.10241374069975	-5304.875132886735	2.3733992147767562E-6	1.170839062539375E-5	5.667879557775039E-6	1.2573782024609083E-5	5.313085653613916E-6	7.2125844051761425E-6	4.428397462866179E-6	1.4244468729902601E-6	59.25301750264893	0.5730114849156246	0.0025560585006619684	0.47319861724332307	0.2895758982268331	0.1790301645855159	0.20372650697450173	0.3276674302131493	1.4163094634691538	0.0025769296180039023	2.749274156707283	0.2604334545790112	0.2560127455677732	0.2474042680646937	0.23614953178852174	3.7854380457628336	-1566.3425341837649	-3738.5325987029696
270000	30.482808279656464	0.016258314318658883	-5206.161594884765	5.366193297479342	96.72492028650471	-5302.88651517127	5.739330524745133E-5	3.185806484943324E-4	1.7868527320585213E-4	1.1044275474388436E-4	2.751658180052912E-5	1.0998532563043077E-4	6.011931831162089E-5	1.1144337210562078E-4	21.57084127448239	0.7131090167828349	0.016657520465125357	0.7170956520285524	0.2808222434056599	0.168790516566143	0.2007565558404101	0.3496306841877871	0.13197432661688968	0.01626489958978528	3.3492100500100253	0.2480520856300383	0.24676330775386993	0.25619437414999585	0.24899023246609595	0.8457842005373999	-1566.3271340027336	-3736.559381168536
