# BEAST v1.7.5
# Generated Sat Mar 01 06:51:31 CET 2014 [seed=1393653090818]
state	species.coalescent	speciesTree.rootHeight	posterior	speciation.likelihood	prior	likelihood	species.popMean	speciesTree.splitPopSize1	speciesTree.splitPopSize2	speciesTree.splitPopSize3	speciesTree.splitPopSize4	speciesTree.splitPopSize5	speciesTree.splitPopSize6	speciesTree.splitPopSize7	speciesTree.splitPopSize8	speciesTree.splitPopSize9	speciesTree.splitPopSize10	speciesTree.splitPopSize11	speciesTree.splitPopSize12	speciesTree.splitPopSize13	speciesTree.splitPopSize14	speciesTree.splitPopSize15	speciesTree.splitPopSize16	speciesTree.splitPopSize17	speciesTree.splitPopSize18	speciesTree.splitPopSize19	speciesTree.splitPopSize20	speciesTree.splitPopSize21	speciesTree.splitPopSize22	speciesTree.splitPopSize23	speciesTree.splitPopSize24	speciesTree.splitPopSize25	species.birthDeath.meanGrowthRate	species.birthDeath.relativeDeathRate	cluster62.treeModel.rootHeight	cluster62.kappa	cluster62.frequencies1	cluster62.frequencies2	cluster62.frequencies3	cluster62.frequencies4	cluster62.clock.rate	cluster711.treeModel.rootHeight	cluster711.kappa	cluster711.frequencies1	cluster711.frequencies2	cluster711.frequencies3	cluster711.frequencies4	cluster711.clock.rate	cluster62.treeLikelihood	cluster711.treeLikelihood
0	-222.54410479670847	0.005146858508093064	-4668.205496505472	5.465595679906014	-161.65768852025641	-4506.5478079852155	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	1.0	0.5	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	-2719.8371442212137	-1786.7106637640015
30000	6.69511705838044	1.285218889866746	-1773.0213971585945	-2.7587655476032364	13.828907691144284	-1786.8503048497387	0.11412545978591937	0.1294493621260972	0.12527208679052243	0.6253024166046939	0.6448849295612881	0.4354835884212766	0.4976001260163586	0.3214647145917018	0.22732353985774553	0.5028964522383046	0.2011004374918408	0.7956886416971741	0.3092865335414929	0.37421589248576154	0.19878480800637577	0.06673281649433363	0.7066591795671747	0.27613887613045424	0.0949070823252336	0.23342688180238114	0.14717588816629917	0.16389916081794798	0.08809009562696549	0.04468732867288822	0.394282097821248	0.4415531525314084	2.374684810855067	0.13927501170957607	1.7494499739227656	1.5740179575879927	0.2996135223839981	0.21782355332052997	0.258997593941557	0.22356533035391518	0.0015095275256691838	1.8380475683073758	20.356203920479864	0.27204707710008963	0.2500843811820658	0.24958400357794175	0.2282845381399028	0.006253750600829119	-1139.078145837869	-647.7721590118697
60000	96.11012067111389	0.004872202263480141	-1512.4332468806983	42.299664472349455	275.9879181092598	-1788.421164989958	4.1640866441368623E-4	0.0028873078389861193	0.002105358909473574	0.0016451900302244123	5.510882482409512E-4	0.0012899405219881177	0.0028740771131728882	0.0023655361691849426	4.4797224563404364E-4	4.608605264526964E-4	7.62955241523668E-4	5.209578629940682E-4	0.0024020498570456665	3.3705249898966004E-4	8.604762808469838E-4	4.37687649446508E-4	5.396330201488358E-4	0.0014072314473675476	8.053813027500002E-4	0.0016192180932542307	6.686421954759963E-4	7.164925169017146E-4	2.4193704690664332E-4	0.0018211211223816575	5.635518504837091E-4	0.0010557263157592314	259.6792440823696	0.5907801395401107	0.0049234335215704705	37.0408367120874	0.32968714938232463	0.20415767613809208	0.2532080756193003	0.2129470988602834	0.7758100654209313	0.006282523334166003	28.489155143809967	0.23143522738192002	0.2465214943229415	0.2697881931101067	0.2522550851850318	2.655713778561653	-1139.0977571165902	-649.3234078733678
90000	76.56806146623693	0.011385550142091728	-1565.1456344742408	29.726879711748143	217.8617575085456	-1783.0073919827864	0.0012254580571783857	0.007869551325592621	0.004657415671854383	0.007591491513454979	0.0033214794630004965	0.0082398354976446	0.0064634853397562	0.0038864512517370817	0.007065317201453283	0.004741657388192595	8.875667030892522E-4	0.001269788242809554	0.005789367370591009	0.007133807127251519	0.004401366516986711	0.0037554262282858053	0.0032321902656391273	0.0023915989819810928	0.0020334569291726294	0.002812167794004389	0.004741388883820612	0.002051648790747948	0.0011074400123216347	0.0023258227256702053	0.0026129710423652285	0.007789852325966136	70.0114444188625	0.12327170706497832	0.013729693952117669	19.999900764453706	0.31296899836788405	0.2404334267361563	0.22699477661871645	0.21960279827724344	0.13035089096660998	0.018772613124283143	40.70845900029719	0.23134353381299963	0.29308632844628096	0.2750447988474898	0.20052533889322954	0.3940737025875023	-1139.5254817949378	-643.4819101878485
120000	101.18028787227894	0.0048868477852851136	-1479.656360937127	39.23761094226031	300.3707958129847	-1780.0271567501115	2.0441524071019565E-4	4.369196604546384E-4	5.525131995832611E-4	9.213161478382282E-4	3.8169313092895963E-4	4.285891193364093E-4	5.394516426751785E-4	7.689245800788978E-4	3.373962669733349E-4	0.001492110438636422	3.7830922892747145E-4	2.924796828691176E-4	4.4466975123227796E-4	0.0011364660268607498	1.9452251711328078E-4	8.387985118622712E-4	2.8089868456166866E-4	1.9596453947139268E-4	3.2214648808789745E-4	1.536098373260422E-4	1.537237866803384E-4	0.0011134583970399184	2.792230162959453E-4	8.726762807545577E-4	3.5756212956305865E-4	3.7508560710383155E-4	396.1990027495328	0.23394520003732758	0.00543973475372269	19.748374391113792	0.30804637450571676	0.2093986635190919	0.2598636616348554	0.22269130034033618	0.35749927064393106	0.006615664613277276	67.91107471852156	0.2226401541823004	0.265823952318459	0.2928064478549368	0.21872944564430397	1.5777712823182666	-1136.6738456981627	-643.3533110519488
150000	75.55112557960443	0.004207660766893462	-1554.130670349805	39.64391851987829	228.50612830864264	-1782.6367986584478	0.0010162071166493964	0.0022102221357236415	0.0022284084705150994	0.002073002521531795	0.0012674183007802826	0.006240506754293925	0.007345666170566514	0.006712040612483276	0.007430534392117905	0.004965948763519417	2.1031525209209113E-4	1.2478734350056627E-4	9.163310011504549E-4	0.0027520364603262834	0.0010064100286012597	0.0030575455882901744	0.002325198021882451	0.005580675583795519	0.002293572455042952	0.006396365074461987	4.5583210499927824E-4	0.0016682343598508798	0.002986601063158831	4.975476373709097E-4	0.0039033077285420335	9.553597079061296E-4	394.9926471760621	0.26342604702748945	0.012310809351931714	17.503090808237012	0.3426037373327481	0.20999640948990422	0.23566420692888662	0.21173564624846142	0.24906007330079682	0.012339688848852027	13.5482658490235	0.24093958541511673	0.26263822420591937	0.2871453461150849	0.20927684426387916	1.1707018413671684	-1139.389439629633	-643.2473590288149
180000	89.01622415585916	0.021988531441438336	-1532.336140055361	27.432622780049797	250.32820237231564	-1782.6643424276767	7.714456609851025E-4	0.003652289213330357	0.00284575032085522	0.0035701312596099206	0.002736241710390825	0.0014808433213599193	0.0022918244852971753	0.0011159559544642998	0.002565454511585003	0.002748344103350028	0.0014673448714864028	0.0014539912973716733	0.0010547130584796609	0.0019714796028718327	0.001403342873447332	1.2991744025160387E-4	6.736069554249543E-5	0.0021966023961190653	1.8401248171021523E-4	3.5383471753516483E-4	5.835167926199878E-4	0.0016353310728652256	9.12975248966889E-4	0.0020664931847179475	0.002207698956723241	6.321311501142914E-4	44.398608888904946	0.19383771465834862	0.02204724101541464	83.25736868494572	0.29102025185580455	0.21159966678526929	0.26208484668703536	0.23529523467189117	0.11296359367321122	0.024671206669167306	37.9775936436253	0.25910207028878646	0.28335203791834257	0.25976137656028536	0.197784515232586	0.26894630840716316	-1138.7044751775231	-643.9598672501535
210000	68.75628352767733	0.07444009959403328	-1590.5967040232888	20.164681818205235	193.6215813388169	-1784.2182853621057	0.0024782179159312445	0.008888844157617018	0.011118754300374206	0.007268852982078406	0.014572323196922669	0.0035001177089720556	0.00878947470317444	0.01670331525535342	0.007855950985750895	0.007635796172362706	0.004654681410828851	0.005137040936596387	0.0015215502075675597	0.004601703784714493	0.0042941946241999195	2.648724932245597E-4	3.51921616299169E-4	0.00355539175147893	0.0072430709607136145	0.009557493929751446	0.011949893577938395	0.004391665996231505	4.784912868769928E-4	0.005239723902154339	0.0013633819666037036	0.0035166915702708767	37.62794243815264	0.06661872043165322	0.08233166205065706	30.33386709008695	0.2983626185683135	0.2259909583100884	0.24998912102152696	0.2256573021000715	0.034218427992230974	0.0842755347446044	5.873496550819175	0.2672902240146301	0.2812797534760977	0.29238316616544485	0.15904685634382765	0.1097065101413284	-1136.462433491368	-647.7558518707375
240000	64.71086858345822	0.0810289396514697	-1601.7563155901296	16.357269938621368	180.0163988352824	-1781.772714425412	0.0026074160377155516	0.006139496711601248	0.01046415252081048	0.01683335343575253	0.010896092898760971	0.017283497201007882	0.007984066522960697	0.009733416712261645	0.010841201763222426	0.02207967610216535	0.008615089441878443	0.006115284479626699	0.010355215420013922	0.004842907673323116	0.002707237250289761	0.002903171653506344	0.0028210843607138912	0.0064586892691679805	0.010325825081983268	0.004191702561380332	0.0022313762347709915	0.006234351773059661	0.0022315339903704553	0.00976904557148653	0.0012479731240731145	0.006278409367634583	46.47798136884089	0.009605522037838835	0.0947981338718656	19.621560177709423	0.3094253137680296	0.21738744826588982	0.24462042490308564	0.22856681306299526	0.041258790289322486	0.08162657167928088	339.1609037996289	0.23796297087199922	0.30241959170049965	0.27349181958080176	0.18612561784669968	0.07393593736376303	-1136.6573945794676	-645.1153198459444
270000	127.82774213451877	0.0014179881338241599	-1407.254024861416	51.11415610044395	375.857581240277	-1783.1116061016928	4.926249580823738E-5	1.1557514107168892E-4	3.7691012484841234E-5	2.1910005926644458E-4	1.0292250019663668E-4	9.427609096656298E-5	1.0502340478385928E-4	1.7443629447111934E-4	1.0865751239368419E-4	1.7639041358215166E-4	1.8669525230305815E-4	4.869172714786085E-5	5.922390219019168E-5	2.2777583881468276E-5	1.7148518900177373E-5	4.7151120153007765E-5	2.2723741546398948E-5	4.029328336028711E-5	1.8951875606630557E-4	1.64758384595624E-4	3.337877061370159E-5	6.6989986597651E-5	2.560514352254605E-5	1.37633653617332E-4	2.6935694356668055E-5	5.939684933132911E-5	589.8122500003491	0.6455180745203335	0.0015601884456052136	16.51948389597854	0.2741071096733075	0.22175723493134142	0.28416024610126117	0.2199754092940904	2.31355709756145	0.0017997093971252292	119.69093854398969	0.22470127810401563	0.27994142086103746	0.31485111474774374	0.18050618628720333	6.4105202437581275	-1139.809387425695	-643.3022186759979
