Absolmsia spartioides
Acokanthera oblongifolia
Acokanthera oppositifolia
Acokanthera rotundata
Acranthera atropella
Acranthera frutescens
Acranthera grandiflora
Acranthera siamensis
Acrosynanthus latifolius
Acrosynanthus minor
Acrosynanthus revolutus
Acunaeanthus tinifolius
Adelostemma gracillimum
Adenium multiflorum
Adenium obesum
Adenium swazicum
Adenolisianthus arboreus
Adina pilulifera
Adina pubicostata
Adina rubella
Adinauclea fagifolia
Afrocanthium burttii
Afrocanthium gilfillanii
Afrocanthium keniense
Afrocanthium lactescens
Afrocanthium mundianum
Afrocanthium parasiebenlistii
Afrocanthium pseudoverticillatum
Afrocanthium racemulosum
Afrocanthium siebenlistii
Aganonerion polymorphum
Aganosma cymosa
Aganosma schlechteriana
Aganosma wallichii
Agathisanthemum bojeri
Agathisanthemum chlorophyllum
Agathisanthemum globosum
Agathisanthemum quadricostatum
Aidia canthioides
Aidia cochinchinensis
Aidia micrantha
Aidia racemosa
Airosperma psychotrioides
Airosperma trichotomum
Airosperma vanuense
Aitchisonia rosea
Alafia barteri
Alafia thouarsii
Alberta magna
Aleisanthia rupestris
Aleisanthiopsis distantiflora
Alibertia acuminata
Alibertia amplexicaulis
Alibertia bertierifolia
Alibertia concolor
Alibertia curviflora
Alibertia edulis
Alibertia elliptica
Alibertia garapatica
Alibertia hassleriana
Alibertia hispida
Alibertia latifolia
Alibertia macrophylla
Alibertia myrciifolia
Alibertia pilosa
Alibertia rigida
Alibertia sessilis
Alibertia steinbachii
Alibertia subaurea
Alibertia tutumilla
Alibertia utleyorum
Allamanda blanchetii
Allamanda cathartica
Allamanda oenotherifolia
Allamanda schottii
Allenanthus erythrocarpus
Allenanthus hondurensis
Allomarkgrafia brenesiana
Allomarkgrafia plumeriiflora
Allotoonia agglutinata
Alseis blackiana
Alseis floribunda
Alseis lugonis
Alseis peruviana
Alseis smithii
Alstonia boonei
Alstonia brassii
Alstonia kurzii
Alstonia macrophylla
Alstonia plumosa
Alstonia scholaris
Alstonia venenata
Alstonia vitiensis
Alyxia balansae
Alyxia buxifolia
Alyxia grandis
Alyxia lindii
Alyxia loesneriana
Alyxia oblongata
Alyxia reinwardtii
Alyxia ruscifolia
Alyxia sinensis
Alyxia spicata
Alyxia squamulosa
Amaioua corymbosa
Amaioua guianensis
Amalocalyx microlobus
Amaracarpus grandifolius
Amaracarpus kochii
Amaracarpus muscifer
Amaracarpus nematopodus
Ambelania acida
Amblyopetalum coccineum
Amphiasma benguellense
Amphiasma luzuloides
Amphiasma merenskyanum
Amphidasya ambigua
Amphidasya colombiana
Amphidasya longicalycina
Amphineurion marginatum
Amphineurion terminans
Amphistemon humbertii
Amphistemon rakotonasolianus
Amsonia elliptica
Amsonia hubrichtii
Amsonia kearneyana
Amsonia orientalis
Amsonia tabernaemontana
Anartia meyerii
Ancylanthos rubiginosus
Ancylobotrys capensis
Ancylobotrys petersiana
Androya decaryi
Anechites nerium
Angadenia berteroi
Angadenia sagraei
Anisotoma cordifolia
Anodendron affine
Anodendron oblongifolium
Anodendron paniculatum
Anomalluma dodsoniana
Anomalluma mccoyi
Antherostele banahaensis
Antherostele callophylla
Antherostele grandistipula
Antherostele luzoniensis
Anthocleista amplexicaulis
Anthocleista grandiflora
Anthocleista nobilis
Anthocleista scandens
Anthocleista schweinfurthii
Anthocleista vogelii
Anthorrhiza caerulea
Anthorrhiza clemensii
Anthospermum aethiopicum
Anthospermum herbaceum
Anthospermum tricostatum
Anthospermum welwitschii
Antirhea borbonica
Antirhea chinensis
Antirhea madagascariensis
Antirhea megacarpa
Antirhea obtusifolia
Antirhea rhamnoides
Antirhea smithii
Antirhea tenuiflora
Antonia ovata
Aoranthe castaneofulva
Aoranthe cladantha
Aoranthe penduliflora
Aphaenandra uniflora
Apocynaceae environmental
Apocynum androsaemifolium
Apocynum cannabinum
Apocynum hendersonii
Apocynum pictum
Apocynum venetum
Appunia brachycalyx
Appunia calycina
Appunia debilis
Appunia guatemalensis
Appunia odontocalyx
Appunia tenuiflora
Apteranthes burchardii
Arachnothryx buddleioides
Arachnothryx chimboracensis
Arachnothryx colombiana
Arachnothryx cooperi
Arachnothryx costaricensis
Arachnothryx fosbergii
Arachnothryx gracilispica
Arachnothryx guerrerensis
Arachnothryx jurgensenii
Arachnothryx laniflora
Arachnothryx leptodictya
Arachnothryx leucophylla
Arachnothryx linguiformis
Arachnothryx monteverdensis
Arachnothryx ovata
Arachnothryx scabra
Arachnothryx secunda
Arachnothryx septicidalis
Arachnothryx torresii
Araujia angustifolia
Araujia hortorum
Araujia plumosa
Araujia sericifera
Arcytophyllum aristatum
Arcytophyllum capitatum
Arcytophyllum ciliolatum
Arcytophyllum ericoides
Arcytophyllum erilavarum
Arcytophyllum filiforme
Arcytophyllum lavarum
Arcytophyllum muticum
Arcytophyllum nitidum
Arcytophyllum peruvianum
